Longitude,Latitude,datetime,UHI Index,geometry,building_count_100m,total_building_area_100m,building_count_500m,total_building_area_500m,building_count_1000m,total_building_area_1000m
-73.90916667,40.81310667,24-07-2021 15:53,1.030288903,POINT (592000.2226016461 4518582.907902403),9,22021.91386499392,173,238056.22182687756,722,990085.7676775099
-73.90918667,40.813045,24-07-2021 15:53,1.030288903,POINT (591998.6209797623 4518576.040994349),10,23529.58365328198,174,242292.7092797859,720,994295.9545526868
-73.909215,40.81297833,24-07-2021 15:53,1.023797758,POINT (591996.3237008754 4518568.6102995025),9,21067.543693115593,177,247121.18806098425,718,990577.9193048985
-73.90924167,40.81290833,24-07-2021 15:53,1.023797758,POINT (591994.1710234808 4518560.811688332),8,19166.747334681444,175,246855.83654336858,716,990771.6202169764
-73.90925667,40.812845,24-07-2021 15:53,1.021634043,POINT (591992.9933896236 4518553.765754995),8,19166.747334681444,173,245431.9946564915,709,985447.9721257591
-73.90928,40.81277667,24-07-2021 15:53,1.021634043,POINT (591991.120096912 4518546.156035247),9,19614.881167660576,177,251986.26627337933,704,979404.2408673137
-73.90931167,40.81271,24-07-2021 15:53,1.015142899,POINT (591988.5410997381 4518538.721838069),10,16722.068657326483,174,250412.42130432252,697,978535.8710902125
-73.90934,40.81264333,24-07-2021 15:53,1.015142899,POINT (591986.2437976566 4518531.291147143),10,16722.068657326483,172,258710.39870402525,690,977877.391623505
-73.90936333,40.81256167,24-07-2021 15:53,1.012979184,POINT (591984.3889033981 4518522.201681761),10,17648.433190473268,170,258093.94912417224,683,973426.3943745039
-73.90938333,40.812485,24-07-2021 15:53,1.012979184,POINT (591982.8079696879 4518513.669645687),11,21218.882072003373,169,257800.87204063218,675,968490.4445554477
-73.90939333,40.81240333,24-07-2021 15:53,1.010815469,POINT (591982.0773557825 4518504.593059944),11,21218.882072003373,169,261415.16597542062,670,962692.6733973161
-73.90942,40.81233,24-07-2021 15:53,1.010815469,POINT (591979.9292413198 4518496.424794836),11,21218.882072003373,170,260937.91235897515,664,959362.8037237389
-73.90945333,40.81223667,24-07-2021 15:53,1.010815469,POINT (591977.2470266512 4518486.029365225),11,21218.882072003373,171,267317.41904692794,647,951020.2883370414
-73.90947667,40.81216333,24-07-2021 15:53,1.010815469,POINT (591975.3797736302 4518477.863486082),10,19735.796242369393,173,271035.0876922712,641,944060.6754897909
-73.90949333,40.81209333,24-07-2021 15:53,1.010815469,POINT (591974.0713091644 4518470.075386418),10,19075.299781106656,174,279203.08112762886,636,942763.1213766972
-73.90952167,40.81203167,24-07-2021 15:53,1.010815469,POINT (591971.7662060892 4518463.200845106),10,19075.299781106656,171,277047.5622877695,631,940536.2259198851
-73.90953,40.81198167,24-07-2021 15:53,1.010815469,POINT (591971.1326860065 4518457.641663284),10,19075.299781106656,171,275948.42109237047,629,929742.3470819567
-73.90954833,40.81194,24-07-2021 15:54,1.010815469,POINT (591969.6442372501 4518452.996692525),10,19075.299781106656,169,275548.96211173234,623,924876.4266119868
-73.90956333,40.8119,24-07-2021 15:54,1.010815469,POINT (591968.4343405744 4518448.540600826),10,19075.299781106656,169,275127.4175354376,622,930364.5603144598
-73.90958167,40.81186333,24-07-2021 15:54,1.010815469,POINT (591966.9381398978 4518444.450664364),9,18609.487909798438,170,275249.953068752,622,937808.481860507
-73.9096,40.81181167,24-07-2021 15:54,1.012979184,POINT (591965.4634809698 4518438.696716486),10,19632.382418686677,168,273302.68305495055,615,935011.6382514944
-73.909615,40.81175333,24-07-2021 15:54,1.012979184,POINT (591964.2789048825 4518432.20472385),10,19632.382418686677,169,270112.5957434402,607,931082.1166922038
-73.90963167,40.8117,24-07-2021 15:54,1.012979184,POINT (591962.9465559801 4518426.26713358),10,19632.382418686677,169,270112.5957434402,601,930825.3716009915
-73.90964667,40.81164333,24-07-2021 15:54,1.012979184,POINT (591961.7596692112 4518419.96052627),10,19632.382418686677,169,270304.2756237994,599,920216.9067714693
-73.90966167,40.81157833,24-07-2021 15:54,1.012979184,POINT (591960.5842825968 4518412.729215786),10,19632.382418686677,169,268659.99474887707,592,916205.9291888431
-73.909675,40.81151,24-07-2021 15:54,1.012979184,POINT (591959.5543442012 4518405.129998288),11,20051.629094002557,170,269368.7809515363,588,912039.8349822104
